category;position;description
Backend;Django Developer @; AMQP    Django    JavaScript    PostgreSQL    VueJS    WebSockets    SCSS    Webpack    international team Celery    Django    AMQP    PostgreSQL    SQL    WebSocket    JavaScript    VueJS    Microservices    English   
Backend;Ruby on Rails Developer @; Ruby on Rails    AWS    Javascript    Postgresql    Vue.js    ElasticSearch    Elixir    ES6    GitHub    MySQL    Phoenix Framework    ReactNative    Redis    Ruby on Rails    JavaScript    Postgresql    Vue.js    Polish   
Backend;ETL Developer @; ETL Informatica PowerCenter    Oracle / MS SQL Server    Pentaho    PL/SQL or SQL    SSIS    Python, Unix scripting    SAP Business Objects    Spotfire    Tableau    Informaica PowerCenter    Tableau    English   
Backend;Back-End Engineer @; AWS    Go    Python    PHP    Ansible    Docker    RabbitMQ    full-stack product teams we work on our own product At least 1 year of commer...    Design knowledge (pattern...    Great knowledge of at lea...    Writing clean code    Automated testing    Go    MySQL/ Postgres    Python    PHP    English B2    Able to discuss, admit to mistakes a... Passionate about learning Treating technologies as tools, not ...
Backend;Java Developer @; Angular 2    Docker    Gitlab    Gradle    Java 8    Jenkins    Jira    Linux    Liquibase    Marathon    Mesos    Microservices    Netflix OSS    PostgreSQL    Spring Boot    Spring Cloud    Webservices Rest    Hibernate    Selenium    Fresh technologies Intellij IDEA Hibernate    Java 8    Spring    Linux    Microservices    DDD    Netflix OSS    OAuth2    Spring Cloud    Angular 2    Python    English   
Backend;GWENT Web Developer @; CI    Docker    GIT-flow    MySQL    OAuth2    PHP7    RabbitMQ    Redis    REST    Symfony    Varnish    ElasticSearch    Go    Sphinx    HTML/CSS    big scale flat structure global project international team online game MySQL    PHP7    RabbitMQ    REST    Symfony    Docker    Experience working in an ...    Go    OAuth2    Redis    Varnish    ElasticSearch    HTML/CSS    English    An overwhelming desire to code the b...
Backend;PHP Developer @; PHP    Java    PHP    SOLID    TDD    Continous Integration    Java    Polish    English   
Backend;Software Engineer @; Spark    Python    Scala    advanced R&D BigData distributed systems file systems flat structure for willing trips to Japan/Silicon V... international team Machine Learning scalable systems CS education    C++    Java    Python    Scala    Spark    Polish    English    ability to write clean code creativity parallel programming team work
Backend;Java Developer @; Hibernate    Java 8    Spring    Angular    Groovy    SQL    Angular 2    Gatling    Javascript    Solr    Typescript    International team R&D department Hibernate    Java    Spring    Angular    Groovy    Javascript    Jenkins    SQL    DB2    Docker    Gatling    Sonar    Typescript    Polish    English    abiity to work independently open-minded problem solving skills
Backend;Lead Scala Expert @; Java    Scala    Akka    NoSQL    Play    Brand New Office Career Progression Greenfield Projects High Volume Data International Teams Latest Technologies Sociable Teams Java    Scala    Akka    Play    Spring    Scrum    Spark    Agile    REST    English    Great Communicator Team Player Hamburg
Backend;Java Cloud Developer @; Java    Akka    AMQP    Docker    Linux    OSGi    Cassandra    Elasticsearch    Groovy    Redis    REST    Scala    High Availability International projects Internet of Things (IoT) Microservices NoSQL Performance SaaS Scalability Java    Concurrent programming    Linux    Akka    Git    Groovy    Scala    SQL    English   
Backend;Python Developer @; Django    HTML5/CSS3    JavaScript    PostgreSQL    Python    REST    C    NoSQL    Erlang    agile flat structure flexible working hours innovation driven environment knowledge sharing modern office building technology agnosticism Django    PostgreSQL    Python    Git    JavaScript    REST    NoSQL    English    ability to work independently creativity knowledge of distributed architecture out of the box thinking strong algorithmic skills timeliness
Backend;Software developer | Trading exchange Deve... @; blockchain    Elixir    Ethereum    Solidity    cryptography    >=3 yrs experience    order book algorithms    trading exchanges archite...    algorithms    data structures    Blockchain    Elixir    Erlang    Ethereum    functional programming    Solidity    decentralized exchanges    Golang    Python    English   
Backend;Regular Java Engineer @; Java    Design/Architecture    NoSQL    RxJava    Vert.x    Ansible    AWS    Docker    Scala    Contributions to Open Source Engineering spirit Global range system Greenfield project High availability Low latency Microservices Peak 3000 TPS You ship it, you run it Zero-downtime deploy Java    Async programming    DevOps skills    AWS (or cloud) experience    NoSQL    Scala (or other functiona...    English    Experience in working for Open Source
Backend;Microservice Java Developer @; Docker    Java 8    Kafka    Microservices    Redis    MongoDB    Elastic Search    Grafana    Kibana    Kubernetes    Brand new product Flat Structure Project from the scratch Java    Container/Docker    Networks    Linux    NoSQL Databases    English    Team Work
Backend;Senior Java / Tech Lead Engineer @; Java    Javaslang    RxJava    Vert.x    Ansible    AWS    Design/Architecture    Docker    NoSQL    Groovy    Scala    Engineering spirit Global range system Greenfield project High availability Low latency Microservices peak 3000 TPS You ship it, you run it Zero-downtime deploy Java    Async programming    Designing (architecture) ...    Distributed systems/compu...    DevOps skills    AWS (or cloud) experience    NoSQL    Scala (or other functiona...    English    Experience in working for Open Source
Backend;Big Data/Scala Engineer @; Hive    Spark    Hadoop    NoSQL    Scala    Contribution to Open Source Engineering spirit Flat structure Distributed systems/compu...    Java or Scala    Hadoop    Spark    Hortonworks/other big dat...    Machine Learning/AI    English    Passionate about building data-drive...
Backend;JAVA Developer @; JAVA    JAVA 8    Spirng    Hibernate    HTML/ CSS    JavaScript    JAVA    OOP    Spring    SQL    JPA/ Hibernate    JUnit, Mockito    Maven,  Gradle    CI    HTML5/ CSS    JavaScript    JEE    Spock, Sonar, Checkstyle    AngularJS/ ReactJS/ Ext-js    Spring Boot    WebService, REST    English   
Backend;Senior Big Data / Scala Engineer @; Hive    Spark    Hadoop    NoSQL    Scala    Contribution to Open Source Great culture Hadoop    Scala    Spark    Distributed systems/compu...    Hortonworks/other big dat...    Java    Machine Learning/AI    NoSQL    English    Experience in working with Open Source Passionate about building data-drive...
Backend;Java Developer @; Java    Jboss    J2EE    Git/Gitlab    Hudson/Jenkins    Jira    Java    J2EE    Jboss    XML    Git/Gitlab    Hudson/Jenkins    Jira    Linux    Polish    English   
Backend;Java Developer @; Java    JPA    Spring    GIT    Hibernate    Javascript    REST    SOAP    JBoss    Maven    brand new office career progression flat structure international clients international projects QA Java 8    Hibernate    Spring    Javascript    JBoss    Maven    Scrum    English    good communication skills
Backend;Linux Platform Engineer @; Bash    Linux Server    Python    VMWare    Perl    Bash    Linux server    Python    Perl    Power Shell    Security aspects in Linux...    TCP/IP    Active Directory    Clustering    GIT, Stash, JIRA    KVM, Docker, AWS    English   
Backend;Mid-Level Java Engineer @; Design/Architecture    Java    NoSQL    RxJava    AWS    Vert.X    Project Carvallar Contribution to Open Source Engineering spirit Unconventional Project Java    Async programming    Designing (architecture) ...    Distributed systems/compu...    DevOps skills    AWS (or cloud) experience    NoSQL    Scala (or other functiona...    English    Experience in working for Open Source
Backend;Regular Java Engineer @; Design/Architecture    Java    NoSQL    RxJava    AWS    Vert.X    Contributions to Open Source Project Carvallar Engineering spirit Unconventional Project Java    Async programming    Distributed systems/compu...    AWS (or cloud) experience    DevOps skills    NoSQL    Scala (or other functiona...    English    Experience in working for Open Source
Backend;Java Developer @; Hibernate    Java/JEE    OracleDB    Spring    spring 4, spring-data, sp...    English    JBoss    Flat structure Great  atmosphere International project The Best IT Employer in Poland  2016... Hiberbate    Java    OracleDB    JBoss    REST    SPA    Spring    SQL    Angular    JavaScript    Scrum    xml, xslt, Apache Fop    Groovy    HTML. CSS    Oracle Service Bus    English    communication skills
Backend;Windows Platform Engineer @; PowerShell    Windows Server    Power Shell    Windows Server    Active Directory    Network Security    TCP/IP    IIS Server    Shell scripts    English   
Backend;Python Expert @; Celery    Django    git    Python    RESTful APIs    AWS    Linux    PostgreSQL    Redis    Cutting-edge technology stack Flat structure Highly qualified team International team Process-based organisation Travel to Los Angeles Django    PostgreSQL    Python    RESTful API    Celery    Frontend    Single Page Applications    English    Eager to learn Highly developed English Team player US visa
Backend;C++ Software Engineer @; C++    GO    STL    Java    Python    Robot    SDN    SDN international clients International team C++    STL    GIT    Java    Linux    Python    GO    Jenkins    Robot    English   
Backend;Java Engineer @; Java 8    Spring    WebServices    Agile    NoSQL    SQL    TDD    AWS    Maven    rxJava    CI/CD Cloud Cool team flat structure Java    Spring    SQL    NoSQL    AWS    JavaEE    Polish    English    learning readiness
Backend;Java Engineer @; AWS    Java    Spring    angularJs    Javascript    JMS    Kibana    Mysql    Distributed architecture Flat structure Clean Code    Java    Spring    AWS    DDD    English   
Backend;PHP Backend Developer @; PHP    PostgreSQL    Consul    ElasticSearch    MongoDB    RabbitMQ    React    Chef    Marathon    Memcached    Mesos    Node.js    Phing    challenging environment flat structure global ambitions startup atmosphere PHP    Software Architecture    SQL    Big Data    Databases    Linux    NoSQL    OOP    Web Applications    ElasticSearch    GIT    MongoDB    Post    English    Polish    ambition experiance reliable self-reliance
Backend;Software Architect @; PHP    PostgreSQL    Consul    ElasticSearch    MongoDB    RabbitMQ    React    Chef    Marathon    Memcached    Mesos    Node.js    Phing    challenging environment flat structure global ambitions startup atmosphere Databases    OOP    PHP    Software Architecture    Big Data    Linux    NoSQL    SQL    Web Applications    ElasticSearch    GIT    MongoDB    Post    English    Polish    ambition experiance reliable self-reliance
Backend;PHP Developer @; MySQL/MariaDB    PHP 7/7.1    Symfony 2.8+    Elasticsearch    MongoDB    RabbitMQ    Reddis    Varnish    Docker    Agile Team FIFA 2017 oriented :) Flat structure Goal oriented Feedback Responsibility MySQL    PHP 5.6    Symfony 2.8+    GIT    PHP 7/7.1    Beanstalkd    Elasticsearch    Microservices    MongoDB    RabbitMQ    Redis    Varnish    English   
Backend;Scala Developer @; Play framework    Scala    AngularJS    MongoDB    Akka    cats    CoffeeScript    Docker    Meteor    MySQL    SQS    TypeScript    continuous delivery flat structure startup atmosphere tdd friendly Clean Code    Scala    MongoDB    Play framework    Akka    AngularJS    AWS    cats    docker    elm    functional programming    property testing    typelevel libs    polish    english   
Backend;Java EE Developer @; Java 7, 8 / JEE    Git / Gitlab    Hudson / Jenkins    Jboss    Spring / Hibernate    Java / JEE    Ruby    English   
Backend;Java Software Engineer @; GIT    Java    Linux    SDN    Python    Business trips to USA international team GIT    Java    Linux    C++    Python    ELK    JBoss    Puupet / Chief / Ansible    English   
Backend;Java Developer @; Java    JMS    JPA/EclipseLink    Oracle    OSGi    SOA    SOAP    Spring    Spring MVC    AngularJS    JSP    REST    Struts 1.x    Synapse ESB    DDD    Java    OOP    TDD    Git    JPA    Spring    OSGi    SOA    SOAP    Weblogic Server    Angular    REST    Struts 1.x    Docker    JVM troubleshooting skills    Polish    English    problem solving skills self-organized �Can do� attitude +1 year experience
Backend;Backend .NET Developer @; .NET    .NET Web API    DDD    Eventsourcing    ServiceFabric    Impact on used solutions International team C#    .NET Web API    DDD    Eventsourcing    ServiceFabric    English   
Backend;Senior GIS Developer @; GIS    Java    Oracle    GIS    Java    Oracle    MCSD    English   
Backend;Junior/Middle/Regular Java Developer @; Java    JPA/Hibernate    REST    Spring    Cloud/AWS    New teams Newest technologies Java    JPA/Hibernate    REST    Spring    Cloud/AWS    English   
Backend;Senior ASP.NET Developer @; ASP.NET    AngularJS    Entity Framework    SQL Server    Azure Services    XUnit    Flat structure Other forms of agreement (B2B, other) asp.net    Git    SOLID    Entity Framework 6    Microsoft Azure    SQL Server    AngularJS    CQRS    Polish    English    4 years of experience
Backend;Java Developer @; Java8    AngularJS    Bootstrap    Git    JavaScript    Jetty    JIRA    MySQL    ORM    Java    JavaScript    English   
Backend;(Senior) Java Developer @; git    hibernate    java    maven    spring    sql    microservices    web services    AWS    application design back-end development telco project Experience with Java    Hibernate knowledge    Spring Framework practica...    Database knowledge    Experience in developing ...    Experience in REST    Javascript    English   
Backend;Back-end Software Developer @; JavaScript    Python    Django    HTML5&CSS3    flat structure international team GIT and branching    happy with teamwork    Javascript, HTML5, CSS3    Python and Linux    SQL/databases    very strong general progr...    Academic degree in Comput...    BigData technologies    Django    Mathematical modelling    Software architecure/design    Tensorflow or other ML fr...    Anything relating to ships    English    EU citizenship
Backend;Devops Engineer @;" Ansible    Docker    GIT    JavaScript    Python    SQL    Puppet    flat structure international team Ansible    Bash    Docker    GIT    Linux (Debian)    Linux system (3 years)    Network administration (3...    Python    SQL    MODBUS    open-source monitoring tools    RS422    RS485    Experience with analog si...    English    ""can-do"" attitude BSc in electronics or computer/softw... communication and interpersonal skills EU citizenship Experience in Support tasks Fast learner Self-motivated"
Backend;Senior Java Engineer @; Java    Akka    Play Framework    AWS    MySQL    SCRUM    international team security is crucial Building web apps    Java    API design    AWS    distributed systems    RDBMS    Scrum    Akka    Elasticsearch    Apache Solr    Hadoop    Kubernetes    Lucene    Machine learning    Microservices    Play Framework    English   
Backend;Python Developer @; PostgreSQL    Python    Docker    Ansible    RabbitMQ    Python    Relational databases    SQL    Ansible    Docker    RabbitMQ    English   
Backend;.Net Developer @; .Net 4.0+    ASP.Net MVC    .Net Core    Domain Driven Design    Entity Framework    NHibertnate    REST Api    SOLID    .Net    ASP.Net MVC    C#    SOLID    .Net Core    Domain Driven Design    Git    NoSQL    REST    SQL    CQRS pattern    Microservices architectur...    English   
Backend;.Net Developer @; .Net    AngularJS    ASP.NET MVC    DDD    JavaScript    SOAP, REST    .Net Core    Entity Framework    Web API 2    .Net C#    Angular 1    ASP.NET MVC    JavaScript    nHibernate    TFS    Angular 2    GIT    Microsoft Azure    English   
Backend;PHP/Laravel Developer @; GIT    Laravel 5.4+    MySQL    PHP    nginx/apache    REST API    React    Challenging projects Flat structure Flexible working hours International team GIT    Laravel 5.4    MySQL    PHP    nginx/apache    REST API    HTML/CSS    React    English    Can-do attitude Communication skills
Backend;Network Developer @; C    C++    MySql    Oracle    UDP    TCP    AR video games VR C    C++    experience in video games...    3d game engines    implementing VoIP    Unreal Engine    English   
Backend;Python Engineer @; Django    Docker    Python    AWS    DynamoDB    Google Cloud    Kubernetes    MongoDB    NoSQL    PostgreSQL    PyTest    Flask    CI and CD Cloud Cool team Django    Python    MongoDB    PostgreSQL    AWS    Docker    Google Cloud    Kafka    Kubernetes    English    Eager to learn Likes to work with the team Passion Sense of humor
Backend;Java Engineer @; Java    Spring    AWS    MongoDB    CI and CD Cloud Cool team FinTech Java    Spring    MongoDB    Docker    Kafka    Kubernetes    English    Eager to learn Likes to work with the team Passion Sense of humor
Backend;Senior Java Developer @; ActiveMQ    Java    JBoss Fuse    Spring    Angular    Apache Camel    CXF    jBPM    REST    Android    Tomcat    Wildfly    Challenging project for internationa... Excellent location Finance industry-specific experience Flat structure Flexible working hours Friendly & inspiring work atmosp... Knowledge transfer Java J2SE    Spring    JMS    JWT / OAuth2    ORM    REST    SOAP    jBPM    CQRS    JCache    Polish    English   
Backend;Senior Java (Integration) Developer @; ActiveMQ    Java    JBoss Fuse    Spring    Angular    Apache Camel    CXF    jBPM    OSGi    REST    Android    Tomcat    Wildfly    Challenging project for internationa... Excellent location Finance industry-specific experience Flat structure Flexible working hours Friendly & inspiring work atmosp... Knowledge transfer Java J2SE    Maven    Active MQ    Apache Camel    CXF    Spring    ORM    PostgreSQL / Oracle    JBoss Fuse / Fabric8    Docker    OSGi    Ansible    Polish    English   
Backend;Java Developer Expert @; Hibernate 4.x    Java    Java 8    Spring Framework 3.x i 4.x    SQL    Mockito    PL/SQL    Software AG WebMethods�    Weblogic    Hibernate 4.x    Java    Java 8    JUnit 4 i Mockito    Spring Framework 3.x i 4.x    SQL    JMS    Oracle 12c    PL/SQL    Software AG WebMethods�    Unix    Weblogic    polish    english   
Backend;PHP Developer @; PHP    Angular JS    MySQL    ReactJS    Redis    Big Data Flat stucture International Team Online video Broadcast Industry International dimension of the company International team (12 nationalities) Offices in Netherlands, US, Australi... Analytics skills    OOP (SOLID, DDD)    Solution orientation    PHP 7    Amazon Web Services    English    2-4 years programming experience Good attitude Good sense of humor! Teamplayer
Backend;Python Developer @; Python 2.7    Python 3    Flask    pytest    unittest    CherryPy    Django    ElasticSearch    MongoDB    Postgres    RabbitMQ    Redis    Global challenges International team Flat structure Python    PostgreSQL    unittest/pytest    CherryPy    ElasticSearch    Flask    Memcached/Redis    MongoDB    English   
Backend;Scala Developer @; Cassandra    Elasticsearch    Play    REST    Scala    Functional Programming    RabbitMQ    Akka    MySQL    Python    Spark    Flagship product Flat structure International Team Scala    Java    REST    Akka    Cassandra    Docker    Elasticsearch    Functional Programming    RabbitMQ    English   
Backend;Senior Java Software Developer @; Java8    JUnit    Mockito    Spring    Apache Kafka    Docker    Git    Jenkins    Maven    microservices    NoSQL    REST    Apache Thrift    Netflix OSS    feature teams Java8    Spring    Git    Jenkins    JUnit    Mockito    OOP    Netflix OSS    Apache Kafka    Apache Thrift    Docker    microservices    NoSQL    English   
Backend;Java Game Engine Developer @; Java8    Git    JavaScript (pixi.js)    Jenkins    JUnit    Maven    OOP    GWT    libGDX    Mockito    feature teams Java8    Git    Jenkins    JUnit    Maven    OOP    GWT    Mockito    JavaScript (pixi.js)    libGDX    OpenGL    English   
Backend;Node.JS Developer @; HapiJS    JavaScript    Node.JS    REST API    architektura mikroserwis�w    AWS Lambda    Docker    Git    Kubernetes    MongoDB    TDD    Continuous Integration    Jenkins    Flexible working hours Free hour for lunch Global projects International environment English lessons OTT platform JavaScript    Node.JS    REST API    TDD    AWS Lambda    Continuous Integration    Docker    Kubernetes    Microservices    English B2   
Backend;Java Developer @; Eclipse    GIT    Hibernate    J2EE    Spring    Angular    JBoss    JSF    JSP    Maven    Flat structure Friendly environment Newest technologies J2EE    Spring    GIT    Hibernate    Maven    Angular    Eclipse    JBoss    Hybris    JSF    JSP    English    Polish    Communication skills
Backend;Laravel PHP Developer @; Laravel    PHP    Composer    MySQL    Artisan Console    Git    GitLab    NPM    Webpack    corporates international clients mobile app backends saas startups web applications agile continuous integration gitlab CI scrum Laravel    PHP 7    GIT    MySQL    NPM    Artisan Console    Composer    Docker    Gitlab    Laravel MIX    PHPUnit    Webpack    English    Polish   
Backend;Python Expert @; Git    HADR    Linux    PostgreSQL    Python3    Redis    Twisted    Django    JSON    networking    REST    SQLAlchemy    agile building innovative systems excellent working environment flat structure flexible working hours funded by Geeks knowledge sharing postgres    Python 2.7    redis    Twisted    linux    Python 3    SQLAlchemy    performance testing    bash    Django    postman    english    communicative contributor to open source project fascinated by IT hobby independent open-minded team-player
Backend;PHP Developer @; PHP    PostgreSQL    jQuery    PL/pgSQL    Zend Framework 2    AngularJS    JavaScript    PHP    SQL    JavaScript    AngularJS    PL/pgSQL    Zend Framework 2    English   
Backend;Java Developer @; java    Spring    SpringBoot    TDD    CleanCode    Docker    Maven    Spock    Mockito    Hibernate    Java    Spring    SpringBoot    Docker    SpringCloud    Zuul    Polish   
Backend;Junior C++ Developer @; C++    Linux    STL    fast developing organisation international project and team C++    higher education degree    experience in C++    STL11 or 14    Polish    English   
Backend;DevOps Engineer @; Ansible    Bash    Git    GNU/Linux    Java/Groovy    Jenkins    PostgreSQL    Zabbix    Amazon AWS    ELK stack    Graphite    Microservices    Python    Git    GNU/Linux    Ansible    Cloud    Amazon AWS    English   
Backend;PHP Developer @; php    symfony    node.js    javascript    sql    6 hour work day Artificial intelligence Flat structure Private healthcare Quiet hours during the day Second team in US Very interdisciplinary team (enginee... �Turquoise organization�... php    node.js    symfony    English    Polish   
Backend;WebService Developer @; Java    C#    C++    Node.js    Flat structure Node.js    Java    Scrum    C#    C++    English    Team Player
Backend;Java Developer @; Java EE    JFX    JPA    Oracle    Spring    Web Services    Development of new software International project R&D Java  EE    Relational databases    Spring    Web Services    C/C++    Cryptography notion    Linux    Software Security    English   
Backend;Senior Scala Engineer @; Scala    Akka    Play Framework    AWS    MySQL    SCRUM    international team security is crucial Building web apps    Scala    API design    AWS    distributed systems    RDBMS    Scrum    Akka    Elasticsearch    Apache Solr    Hadoop    Kubernetes    Lucene    Machine learning    Microservices    Play Framework    English   
Backend;Senior C++ Developer @; Oracle    Python    Scala    C ++    SQL Server    English    communicative creative quick learner
Backend;Java Engineer @; Java    Postgres    Spring    ElasticSearch    Grails    Jasper    Spring    Java    Postgres    ElasticSearch    Groovy    English   
